HGNC ID	Approved symbol	Approved name	Status	Previous symbols	Alias symbols	Chromosome	Accession numbers
HGNC:54	ABCC3	ATP binding cassette subfamily C member 3	Approved		MRP3, cMOAT2, EST90757, MLP2, MOAT-D	17q21.33	Y17151
HGNC:55	ABCC4	ATP binding cassette subfamily C member 4	Approved		MRP4, EST170205, MOAT-B, MOATB	13q32.1	U66682
HGNC:56	ABCC5	ATP binding cassette subfamily C member 5	Approved		MRP5, SMRP, EST277145, MOAT-C	3q27.1	AF104942
HGNC:57	ABCC6	ATP binding cassette subfamily C member 6	Approved	ARA, PXE	MRP6, EST349056, MLP1, URG7	16p13.11	AF076622
HGNC:59	ABCC8	ATP binding cassette subfamily C member 8	Approved	SUR, HRINS	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2	11p15.1	L78207
HGNC:60	ABCC9	ATP binding cassette subfamily C member 9	Approved		SUR2, CMD1O	12p12.1	AF061323
HGNC:52	ABCC10	ATP binding cassette subfamily C member 10	Approved		EST182763, MRP7, SIMRP7	6p21.1	U66684
HGNC:14639	ABCC11	ATP binding cassette subfamily C member 11	Approved		MRP8	16q12.1	AF367202
HGNC:14640	ABCC12	ATP binding cassette subfamily C member 12	Approved		MRP9	16q12.1	AY040220
HGNC:61	ABCD1	ATP binding cassette subfamily D member 1	Approved	ALD	AMN, ALDP, adrenoleukodystrophy	Xq28	Z21876
HGNC:66	ABCD2	ATP binding cassette subfamily D member 2	Approved	ALDL1	ALDR, ALDRP	12q12	U28150
HGNC:67	ABCD3	ATP binding cassette subfamily D member 3	Approved	PXMP1	PMP70, ZWS2	1p21.3	M81182
HGNC:68	ABCD4	ATP binding cassette subfamily D member 4	Approved	PXMP1L	PMP69, P70R, EST352188	14q24.3	AF009746
HGNC:69	ABCE1	ATP binding cassette subfamily E member 1	Approved	RNASEL1, RNASELI, RNS4I	RLI, OABP, RLI1	4q31.21	X74987
HGNC:70	ABCF1	ATP binding cassette subfamily F member 1	Approved	ABC50	EST123147	6p21.33	AF027302
HGNC:71	ABCF2	ATP binding cassette subfamily F member 2	Approved		EST133090, ABC28, M-ABC1, HUSSY-18	7q36.1	AJ005016
HGNC:72	ABCF3	ATP binding cassette subfamily F member 3	Approved		EST201864	3q27.1	U66685
HGNC:73	ABCG1	ATP binding cassette subfamily G member 1	Approved		ABC8	21q22.3	U34919
HGNC:74	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	Approved		EST157481, MXR, BCRP, ABCP, CD338	4q22.1	AF103796
HGNC:13884	ABCG4	ATP binding cassette subfamily G member 4	Approved		WHITE2	11q23.3	AJ300465
HGNC:13886	ABCG5	ATP binding cassette subfamily G member 5	Approved		STSL	2p21	T93792
HGNC:13887	ABCG8	ATP binding cassette subfamily G member 8	Approved		GBD4	2p21	AF320294
HGNC:17553	ABHD1	abhydrolase domain containing 1	Approved		LABH1, FLJ36128	2p23.3	AK093447
HGNC:18717	ABHD2	abhydrolase domain containing 2, acylglycerol lipase	Approved		LABH2	15q26.1	X12433
HGNC:18718	ABHD3	abhydrolase domain containing 3, phospholipase	Approved		LABH3	18q11.2	AK024880
HGNC:20154	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B	Approved		FLJ12816	14q11.2	AK022878
HGNC:21396	ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	Approved		CGI-58, NCIE2	3p21.33	AF007132
HGNC:21398	ABHD6	abhydrolase domain containing 6, acylglycerol lipase	Approved			3p14.3	AF225418
HGNC:23759	ABHD8	abhydrolase domain containing 8	Approved		FLJ11743, MGC14280, MGC2512	19p13.11	AK021805
HGNC:25656	ABHD10	abhydrolase domain containing 10, depalmitoylase	Approved		FLJ11342	3q13.2	AL713726
HGNC:16407	ABHD11	abhydrolase domain containing 11	Approved	WBSCR21	PP1226	7q11.23	AF217971
HGNC:15868	ABHD12	abhydrolase domain containing 12, lysophospholipase	Approved	C20orf22	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A	20p11.21	AL117442
HGNC:19837	ABHD12B	abhydrolase domain containing 12B	Approved	C14orf29	BEM46L3	14q22.1	BG698443
HGNC:20293	ABHD13	abhydrolase domain containing 13	Approved	C13orf6	bA153I24.2, FLJ14906, BEM46L1	13q33.3	AK027812
HGNC:24538	ABHD14A	abhydrolase domain containing 14A	Approved		DKFZP564O243, DORZ1	3p21.2	AY358201
HGNC:28235	ABHD14B	abhydrolase domain containing 14B	Approved		MGC15429, CIB	3p21.2	AK075112
HGNC:26971	ABHD15	abhydrolase domain containing 15	Approved			17q11.2	AK056717
HGNC:13921	ABHD16A	abhydrolase domain containing 16A, phospholipase	Approved	BAT5	NG26, D6S82E	6p21.33	AF129756
HGNC:16128	ABHD16B	abhydrolase domain containing 16B	Approved	C20orf135	dJ591C20.1	20q13.33	
HGNC:28756	ABHD17A	abhydrolase domain containing 17A, depalmitoylase	Approved	C19orf27, FAM108A1	MGC5244	19p13.3	BC020512
HGNC:24278	ABHD17B	abhydrolase domain containing 17B, depalmitoylase	Approved	C9orf77, FAM108B1	CGI-67	9q21.13	AF151825
HGNC:26925	ABHD17C	abhydrolase domain containing 17C, depalmitoylase	Approved	FAM108C1		15q25.1	
HGNC:26111	ABHD18	abhydrolase domain containing 18	Approved	C4orf29	FLJ21106	4q28.2	AK024759
HGNC:11320	ABI1	abl interactor 1	Approved	SSH3BP1	E3B1, ABI-1	10p12.1	U87166
HGNC:24011	ABI2	abl interactor 2	Approved		ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2	2q33.2	AF260261
HGNC:29859	ABI3	ABI family member 3	Approved		NESH, SSH3BP3	17q21.32	AB037886
HGNC:17265	ABI3BP	ABI family member 3 binding protein	Approved		NESHBP, DKFZP586L2024, TARSH	3q12.2	AB056106
HGNC:1364	ABITRAM	actin binding transcription modulator	Approved	C9orf6, FAM206A	CG-8, FLJ20457, Simiate	9q31.3	BC015795
HGNC:76	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	Approved	ABL	JTK7, c-ABL, p150	9q34.12	M14752
HGNC:77	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	Approved	ABLL	ARG	1q25.2	M14904
HGNC:78	ABLIM1	actin binding LIM protein 1	Approved	LIMAB1, ABLIM	abLIM, limatin	10q25.3	AF005654
HGNC:19195	ABLIM2	actin binding LIM protein family member 2	Approved		KIAA1808	4p16.1	AB058711
HGNC:29132	ABLIM3	actin binding LIM protein family member 3	Approved		KIAA0843	5q32	AB020650
HGNC:79	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	Approved		A3GALNT, A3GALT1	9q34.2	AF134415
HGNC:81	ABR	ABR activator of RhoGEF and GTPase	Approved		MDB	17p13.3	L19704
HGNC:30655	ABRA	actin binding Rho activating protein	Approved		STARS	8q23.1	AF503617
HGNC:21230	ABRACL	ABRA C-terminal like	Approved	C6orf115	PRO2013, HSPC280, Costars	6q24.1	BC014953
HGNC:25829	ABRAXAS1	abraxas 1, BRCA1 A complex subunit	Approved	CCDC98, FAM175A	FLJ13614, ABRA1, ABRAXAS	4q21.23	AK023676
HGNC:28975	ABRAXAS2	abraxas 2, BRISC complex subunit	Approved	KIAA0157, FAM175B	Em:AC068896.4, ABRO1	10q26.13	D63877
HGNC:17369	ABT1	activator of basal transcription 1	Approved		Esf2	6p22.2	AB027258
HGNC:18275	ABTB1	ankyrin repeat and BTB domain containing 1	Approved		BPOZ, EF1ABP, Btb3, BTBD21	3q21.3	AB053324
HGNC:23842	ABTB2	ankyrin repeat and BTB domain containing 2	Approved		DKFZP586C1619, BTBD22, ABTB2A	11p13	AK056863
HGNC:23844	ABTB3	ankyrin repeat and BTB domain containing 3	Approved	BTBD11	FLJ33957, ABTB2B	12q23.3	AK091276
HGNC:82	ACAA1	acetyl-CoA acyltransferase 1	Approved		Lnc-Myd88	3p22.2	X14813
HGNC:83	ACAA2	acetyl-CoA acyltransferase 2	Approved		DSAEC	18q21.1	D16294
HGNC:84	ACACA	acetyl-CoA carboxylase alpha	Approved	ACAC, ACC	ACC1, ACC-alpha, ACCA, ACCalpha, ACACalpha, Acac1, hACC1	17q12	U19822
HGNC:85	ACACB	acetyl-CoA carboxylase beta	Approved		HACC275, ACC2, ACCB, ACC-beta, ACCbeta, ACACbeta	12q24.11	U89344
HGNC:87	ACAD8	acyl-CoA dehydrogenase family member 8	Approved			11q25	AF126245
HGNC:21497	ACAD9	acyl-CoA dehydrogenase family member 9	Approved		NPD002, MGC14452	3q21.3	AF078854
HGNC:21597	ACAD10	acyl-CoA dehydrogenase family member 10	Approved		MGC5601	12q24.12	AY323912
HGNC:30211	ACAD11	acyl-CoA dehydrogenase family member 11	Approved		FLJ12592	3q22.1	BC019607
HGNC:88	ACADL	acyl-CoA dehydrogenase long chain	Approved		LCAD, ACAD4	2q34	M74096
HGNC:89	ACADM	acyl-CoA dehydrogenase medium chain	Approved		MCAD, MCADH, ACAD1	1p31.1	M16827
HGNC:90	ACADS	acyl-CoA dehydrogenase short chain	Approved		SCAD, ACAD3	12q24.31	M26393
HGNC:91	ACADSB	acyl-CoA dehydrogenase short/branched chain	Approved		SBCAD, ACAD7	10q26.13	U12778
HGNC:92	ACADVL	acyl-CoA dehydrogenase very long chain	Approved		VLCAD, LCACD, ACAD6	17p13.1	BC012912
HGNC:319	ACAN	aggrecan	Approved	MSK16, CSPG1, AGC1	CSPGCP	15q26.1	M55172
HGNC:16467	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	Approved	CENTB1	KIAA0050	17p13.1	D30758
HGNC:16469	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	Approved	CENTB2	KIAA0041, CNT-B2	3q29	
HGNC:16754	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	Approved	CENTB5	KIAA1716	1p36.33	AF411981
HGNC:93	ACAT1	acetyl-CoA acetyltransferase 1	Approved	ACAT	THIL	11q22.3	D90228
HGNC:94	ACAT2	acetyl-CoA acetyltransferase 2	Approved			6q25.3	AF356877
HGNC:15453	ACBD3	acyl-CoA binding domain containing 3	Approved	GOLPH1, GOCAP1	GCP60, PAP7	1q42.12	AB043587
HGNC:23337	ACBD4	acyl-CoA binding domain containing 4	Approved		FLJ13322	17q21.31	BC029164
HGNC:23338	ACBD5	acyl-CoA binding domain containing 5	Approved		DKFZp434A2417, KIAA1996	10p12.1	AF505653
HGNC:23339	ACBD6	acyl-CoA binding domain containing 6	Approved		MGC2404	1q25.2-q25.3	BC006505
HGNC:17715	ACBD7	acyl-CoA binding domain containing 7	Approved		FLJ38219, bA455B2.2	10p13	AK095538
HGNC:23989	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	Approved		PHACS, ACS	11p11.2	AY026508
HGNC:34391	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	Approved			11p11.2	
HGNC:25070	ACD	ACD shelterin complex subunit and telomerase recruitment factor	Approved		Ptop, Pip1, Tpp1, Tint1	16q22.1	AF070535
HGNC:2707	ACE	angiotensin I converting enzyme	Approved	DCP1	ACE1, CD143	17q23.3	J04144
HGNC:13557	ACE2	angiotensin converting enzyme 2	Approved		ACEH	Xp22.2	AF291820
HGNC:18356	ACER1	alkaline ceramidase 1	Approved	ASAH3		19p13.3	AF347024
HGNC:23675	ACER2	alkaline ceramidase 2	Approved	ASAH3L	FLJ41587, ALKCDase2	9p22.1	AK123581
HGNC:16066	ACER3	alkaline ceramidase 3	Approved	PHCA	FLJ11238, APHC	11q13.5	AF214454
HGNC:108	ACHE	acetylcholinesterase (Cartwright blood group)	Approved	YT		7q22.1	
HGNC:17066	ACIN1	apoptotic chromatin condensation inducer 1	Approved	ACINUS	KIAA0670, fSAP152	14q11.2	AB014570
HGNC:4035	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	Approved	FY, DARC	CCBP1, GPD, Dfy, CD234	1q23.2	U01839
HGNC:1565	ACKR2	atypical chemokine receptor 2	Approved	CMKBR9, CCBP2	CCR10, D6, CCR9	3p22.1	U94888
HGNC:23692	ACKR3	atypical chemokine receptor 3	Approved	CMKOR1, CXCR7	RDC1, GPR159	2q37.3	BC008459
HGNC:1611	ACKR4	atypical chemokine receptor 4	Approved	CCRL1	CCR11, CCBP2, VSHK1, CCX-CKR, PPR1	3q22.1	AF110640
HGNC:115	ACLY	ATP citrate lyase	Approved		ATPCL, CLATP, ACL	17q21.2	X64330
HGNC:19288	ACMSD	aminocarboxymuconate semialdehyde decarboxylase	Approved			2q21.3	AB071418
HGNC:117	ACO1	aconitase 1	Approved	IREB1	IRP1, IREBP	9p21.1	M58510
HGNC:118	ACO2	aconitase 2	Approved		ACONM	22q13.2	AH006514
HGNC:33904	ACOD1	aconitate decarboxylase 1	Approved	IRG1	CAD	13q22.3	
HGNC:33128	ACOT1	acyl-CoA thioesterase 1	Approved		ACH2, CTE-1, LACH2	14q24.3	DQ082754
HGNC:18431	ACOT2	acyl-CoA thioesterase 2	Approved		Mte1, ZAP128	14q24.3	AY005822, AK001939
HGNC:19748	ACOT4	acyl-CoA thioesterase 4	Approved		FLJ31235, PTE-Ib, PTE2B	14q24.3	BC031799
HGNC:33159	ACOT6	acyl-CoA thioesterase 6	Approved	C14orf42		14q24.3	DQ082756, BF109853
HGNC:24157	ACOT7	acyl-CoA thioesterase 7	Approved		BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH	1p36.31	AB074417
HGNC:15919	ACOT8	acyl-CoA thioesterase 8	Approved	PTE1	hACTE-III, hTE, PTE-2, NAP1	20q13.12	AF014404
HGNC:17152	ACOT9	acyl-CoA thioesterase 9	Approved		CGI-16, MT-ACT48, ACATE2	Xp22.11	AF132950
HGNC:18156	ACOT11	acyl-CoA thioesterase 11	Approved	THEA	STARD14, BFIT, KIAA0707, BFIT1, THEM1	1p32.3	AB014607
HGNC:24436	ACOT12	acyl-CoA thioesterase 12	Approved		Cach, THEAL, STARD15	5q14.1	AB078619
HGNC:20999	ACOT13	acyl-CoA thioesterase 13	Approved	THEM2	HT012	6p22.3	AF220186
HGNC:119	ACOX1	acyl-CoA oxidase 1	Approved		PALMCOX	17q25.1	U03254
HGNC:120	ACOX2	acyl-CoA oxidase 2	Approved		BRCACOX, BRCOX, THCCox	3p14.3	X95190
HGNC:121	ACOX3	acyl-CoA oxidase 3, pristanoyl	Approved			4p16.1	Y11411
HGNC:25621	ACOXL	acyl-CoA oxidase like	Approved		FLJ11042, ACOX4	2q13	
HGNC:122	ACP1	acid phosphatase 1	Approved		HAAP, LMW-PTP, LMWPTP	2p25.3	M87546
HGNC:123	ACP2	acid phosphatase 2, lysosomal	Approved		LAP	11p11.2	X15525
HGNC:125	ACP3	acid phosphatase 3	Approved	ACPP	ACP-3, PAP, TM-PAP	3q22.1	
HGNC:14376	ACP4	acid phosphatase 4	Approved	ACPT		19q13.33	AF321918
HGNC:124	ACP5	acid phosphatase 5, tartrate resistant	Approved		TRAP, HPAP, TRAcP	19p13.2	X14618
HGNC:29609	ACP6	acid phosphatase 6, lysophosphatidic	Approved		LPAP, ACPL1	1q21.2	BC009965
HGNC:33781	ACP7	acid phosphatase 7, tartrate resistant (putative)	Approved		FLJ16165, PAPL1, PAPL	19q13.2	
HGNC:126	ACR	acrosin	Approved			22q13.33	CR456366
HGNC:17195	ACRBP	acrosin binding protein	Approved		SP32, OY-TES-1, CT23	12p13.31	AB051833
HGNC:127	ACRV1	acrosomal vesicle protein 1	Approved		SPACA2, SP-10, D11S4365	11q24.2	AK223335
HGNC:29567	ACSBG1	acyl-CoA synthetase bubblegum family member 1	Approved		BGM, FLJ30320, MGC14352, BG1, KIAA0631, hBG1, hsBG	15q25.1	AB014531
HGNC:24174	ACSBG2	acyl-CoA synthetase bubblegum family member 2	Approved		BGR, PRTD-NY3, DKFZp434K1635	19p13.3	
HGNC:26101	ACSF2	acyl-CoA synthetase family member 2	Approved		FLJ20920, ACSMW	17q21.33	AK024573, BC012053
HGNC:27288	ACSF3	acyl-CoA synthetase family member 3	Approved			16q24.3	AK075499
HGNC:3569	ACSL1	acyl-CoA synthetase long chain family member 1	Approved	FACL2	LACS2, LACS, ACS1, LACS1, FACL1	4q35.1	BC026290
HGNC:3570	ACSL3	acyl-CoA synthetase long chain family member 3	Approved	FACL3	ACS3, PRO2194	2q36.1	D89053
HGNC:3571	ACSL4	acyl-CoA synthetase long chain family member 4	Approved	FACL4, MRX63, MRX68	ACS4, LACS4	Xq23	BC034959
HGNC:16526	ACSL5	acyl-CoA synthetase long chain family member 5	Approved	FACL5	ACS5, ACS2	10q25.2	AB033899
HGNC:16496	ACSL6	acyl-CoA synthetase long chain family member 6	Approved	FACL6	KIAA0837, ACS2, LACS5, LACS2	5q31.1	AB020644
HGNC:18049	ACSM1	acyl-CoA synthetase medium chain family member 1	Approved	BUCS1	MACS1	16p12.3	AB059429
HGNC:32017	ACSM2A	acyl-CoA synthetase medium chain family member 2A	Approved	ACSM2	A-923A4.1, MGC150530	16p12.3	AK091878, AK096039
HGNC:30931	ACSM2B	acyl-CoA synthetase medium chain family member 2B	Approved	ACSM2	HXMA, HYST1046	16p12.3	AY160217
HGNC:10522	ACSM3	acyl-CoA synthetase medium chain family member 3	Approved	SAH	SA	16p12.3	D16350
HGNC:32016	ACSM4	acyl-CoA synthetase medium chain family member 4	Approved			12p13.31	
HGNC:26060	ACSM5	acyl-CoA synthetase medium chain family member 5	Approved		FLJ20581	16p12.3	
HGNC:31665	ACSM6	acyl-CoA synthetase medium chain family member 6	Approved	C10orf129	bA310E22.3	10q23.33	
HGNC:16091	ACSS1	acyl-CoA synthetase short chain family member 1	Approved	ACAS2L	dJ568C11.3, AceCS2L, MGC33843	20p11.21	
HGNC:15814	ACSS2	acyl-CoA synthetase short chain family member 2	Approved	ACAS2	ACS, ACSA, AceCS, dJ1161H23.1	20q11.22	AF263614
HGNC:24723	ACSS3	acyl-CoA synthetase short chain family member 3	Approved		FLJ21963	12q21.31	
HGNC:129	ACTA1	actin alpha 1, skeletal muscle	Approved	ACTA	NEM3	1q42.13	J00068
HGNC:130	ACTA2	actin alpha 2, smooth muscle	Approved		ACTSA	10q23.31	X13839
HGNC:132	ACTB	actin beta	Approved			7p22.1	M28424
HGNC:17780	ACTBL2	actin beta like 2	Approved		DKFZp686D0972	5q11.2	
HGNC:143	ACTC1	actin alpha cardiac muscle 1	Approved	ACTC	CMD1R	15q14	BC009978
HGNC:144	ACTG1	actin gamma 1	Approved	ACTG, DFNA20, DFNA26		17q25.3	
HGNC:145	ACTG2	actin gamma 2, smooth muscle	Approved	ACTL3, ACTA3	ACTSG	2p13.1	
HGNC:24124	ACTL6A	actin like 6A	Approved		Actl6, BAF53A, Arp4, Baf53a, INO80K, SMARCN1	3q26.33	AK098691
HGNC:160	ACTL6B	actin like 6B	Approved	ACTL6	BAF53B, SMARCN2	7q22.1	AB015906
HGNC:161	ACTL7A	actin like 7A	Approved			9q31.3	BC014610
HGNC:162	ACTL7B	actin like 7B	Approved		Tact1	9q31.3	BC033789
HGNC:24018	ACTL8	actin like 8	Approved		CT57	1p36.13	AK057339
HGNC:28494	ACTL9	actin like 9	Approved		MGC33407	19p13.2	
HGNC:16127	ACTL10	actin like 10	Approved	C20orf134		20q11.22	AL121906
HGNC:24758	ACTMAP	actin maturation protease	Approved	C19orf54	FLJ41131	19q13.2	AK123126
HGNC:163	ACTN1	actinin alpha 1	Approved			14q24.1	M95178
HGNC:164	ACTN2	actinin alpha 2	Approved			1q43	BC047901
HGNC:165	ACTN3	actinin alpha 3	Approved			11q13.2	M86407
HGNC:166	ACTN4	actinin alpha 4	Approved	FSGS1		19q13.2	D89980
HGNC:167	ACTR1A	actin related protein 1A	Approved		ARP1, Arp1A	10q24.32	X82206
HGNC:168	ACTR1B	actin related protein 1B	Approved	CTRN2	Arp1B	2q11.2	X82207
HGNC:169	ACTR2	actin related protein 2	Approved		ARP2	2p14	AF006082
HGNC:170	ACTR3	actin related protein 3	Approved		ARP3	2q14.1	AF006083
HGNC:17256	ACTR3B	actin related protein 3B	Approved		ARP11, ARP3beta	7q36.1-q36.2	
HGNC:37282	ACTR3C	actin related protein 3C	Approved		ARP11	7q36.1	
HGNC:14671	ACTR5	actin related protein 5	Approved		FLJ12785, Arp5, INO80M	20q11.23	AK022847
HGNC:24025	ACTR6	actin related protein 6	Approved		ARP6, FLJ13433	12q23.1	AF212251
HGNC:14672	ACTR8	actin related protein 8	Approved		INO80N, ARP8	3p21.1	
HGNC:17372	ACTR10	actin related protein 10	Approved		HARP11, ACTR11, Arp11, Arp10	14q23.1	AF220190
HGNC:24027	ACTRT1	actin related protein T1	Approved		AIP1, KIAA0705, ARIP1, Arp-T1	Xq25	AF440739
HGNC:24026	ACTRT2	actin related protein T2	Approved		Arp-T2, ARPM2, FLJ25424, ACTRT2	1p36.32	AF440740, AB057364
HGNC:24022	ACTRT3	actin related protein T3	Approved		ARPM1	3q26.2	AK055346
HGNC:171	ACVR1	activin A receptor type 1	Approved	ACVRLK2	SKR1, ALK2, ACVR1A	2q24.1	
HGNC:172	ACVR1B	activin A receptor type 1B	Approved	ACVRLK4	ALK4, SKR2, ActRIB	12q13.13	
HGNC:18123	ACVR1C	activin A receptor type 1C	Approved		ALK7, ACVRLK7	2q24.1	BC022530
